Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.60253
Longitude: -48.620096
Altitude: 4.87
Situacao: Operante
Data Inicial: 2022-01-01
Data Final: 2022-02-19
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2022-01-01;0000;-3.53;23.9;79;
2022-01-01;0100;-3.54;22.9;85;
2022-01-01;0200;-3.54;22.3;87;
2022-01-01;0300;-3.54;21.9;87;
2022-01-01;0400;-3.54;21.4;88;
2022-01-01;0500;-3.532;21.1;90;
2022-01-01;0600;-3.534;21;90;
2022-01-01;0700;-3.505;20.5;90;
2022-01-01;0800;-3.54;20;90;
2022-01-01;0900;39.114;20.5;90;
2022-01-01;1000;556.322;23.7;77;
2022-01-01;1100;1396.709;24.9;70;
2022-01-01;1200;2228.791;26.2;63;
2022-01-01;1300;2937.02;27.1;64;
2022-01-01;1400;3466.232;28.3;64;
2022-01-01;1500;3760.932;29.4;57;
2022-01-01;1600;3838.838;30.3;54;
2022-01-01;1700;3680.705;30.2;56;
2022-01-01;1800;3293.102;29.4;60;
2022-01-01;1900;2704.23;28.7;64;
2022-01-01;2000;1852.763;28.4;64;
2022-01-01;2100;1160.868;28;66;
2022-01-01;2200;204.996;27;65;
2022-01-01;2300;5.372;26.2;70;
2022-01-02;0000;-3.54;25.8;74;
2022-01-02;0100;-3.54;25.8;76;
2022-01-02;0200;-3.402;25.7;77;
2022-01-02;0300;-2.467;24.8;79;
2022-01-02;0400;-3.309;24.2;81;
2022-01-02;0500;-3.534;23.7;84;
2022-01-02;0600;-3.54;23.2;86;
2022-01-02;0700;-3.54;22.8;88;
2022-01-02;0800;-3.54;22.6;88;
2022-01-02;0900;39.767;23.6;83;
2022-01-02;1000;594.438;25.7;74;
2022-01-02;1100;1410.718;27.5;65;
2022-01-02;1200;2150.601;28.8;60;
2022-01-02;1300;2880.957;29;60;
2022-01-02;1400;3396.85;29.6;61;
2022-01-02;1500;3702.43;29.7;65;
2022-01-02;1600;3782.277;29.9;63;
2022-01-02;1700;3649.029;29.2;67;
2022-01-02;1800;3270.831;29.6;66;
2022-01-02;1900;1810.18;27.9;70;
2022-01-02;2000;1064.752;27.9;72;
2022-01-02;2100;396.556;27;74;
2022-01-02;2200;91.201;26.5;76;
2022-01-02;2300;1.408;26.4;77;
2022-01-03;0000;-1.485;26.4;77;
2022-01-03;0100;-1.65;26.4;79;
2022-01-03;0200;-1.817;26.3;80;
2022-01-03;0300;-2.384;25.5;86;
2022-01-03;0400;-1.348;25.3;85;
2022-01-03;0500;-2.525;25.1;86;
2022-01-03;0600;-3.539;25.3;85;
2022-01-03;0700;-3.478;24.6;87;
2022-01-03;0800;-3.54;24.2;88;
2022-01-03;0900;41.43;24;88;
2022-01-03;1000;341.636;26;79;
2022-01-03;1100;1330.966;27.5;70;
2022-01-03;1200;2117.671;28.8;64;
2022-01-03;1300;2845.041;30.3;58;
2022-01-03;1400;3399.893;31.3;54;
2022-01-03;1500;3705.267;31.3;56;
2022-01-03;1600;3781.034;30.7;59;
2022-01-03;1700;3641.177;30.4;62;
2022-01-03;1800;3276.256;30.4;60;
2022-01-03;1900;2582.974;30.4;61;
2022-01-03;2000;1662.388;29.4;65;
2022-01-03;2100;863.934;28.6;70;
2022-01-03;2200;231.936;27.4;77;
2022-01-03;2300;2.438;27;75;
2022-01-04;0000;-3.516;26.7;78;
2022-01-04;0100;-3.28;26.7;78;
2022-01-04;0200;-3.259;26.5;78;
2022-01-04;0300;-3.517;26.2;79;
2022-01-04;0400;-3.462;24.7;84;
2022-01-04;0500;-3.54;24.3;86;
