num,day,period,code,met,clo,COMFORT,PREFERENCE,day_time.x,status_fan,sensor,FC,setpoint,week,d2,day_factor,day_time.y,Tar,RH
1,2022-01-10T00:00:00Z,M,BS81,1.1,0.5,1,-1,2022-01-10T10:16:00Z,0,20589718,1,23,1,1,01/10,2022-01-10T10:16:00Z,26.65,59.59
2,2022-01-10T00:00:00Z,M,AA80,1.1,0.58,1,0,2022-01-10T10:19:00Z,0,20589718,1,23,1,1,01/10,2022-01-10T10:16:00Z,26.65,59.59
3,2022-01-10T00:00:00Z,M,MCL82,1.1,0.5,1,-1,2022-01-10T10:23:00Z,0,20589718,1,23,1,1,01/10,2022-01-10T10:21:00Z,25.89,61.35
4,2022-01-10T00:00:00Z,M,GA84,1.1,0.8799999999999999,1,1,2022-01-10T10:36:00Z,0,20589755,2,23,1,1,01/10,2022-01-10T10:33:00Z,25.96,63.57
5,2022-01-10T00:00:00Z,M,FOC75,1.1,0.5,1,0,2022-01-10T10:38:00Z,0,20589755,2,23,1,1,01/10,2022-01-10T10:38:00Z,25.26,63.79
6,2022-01-10T00:00:00Z,M,RBJ82,1.58,0.58,1,0,2022-01-10T10:48:00Z,0,20589762,2,23,1,1,01/10,2022-01-10T10:48:00Z,26.74,64.67
7,2022-01-10T00:00:00Z,M,CA01,1.1,0.5,2,0,2022-01-10T11:57:00Z,0,20589707,1,23,1,1,01/10,2022-01-10T11:56:00Z,24.44,69.56
8,2022-01-10T00:00:00Z,T,GHF60,1.1,0.5,1,-1,2022-01-10T15:08:00Z,0,20589718,1,23,1,1,01/10,2022-01-10T15:06:00Z,24.8,65.33
9,2022-01-10T00:00:00Z,T,ELG65,1.1,0.5,1,0,2022-01-10T15:11:00Z,0,20589707,1,23,1,1,01/10,2022-01-10T15:11:00Z,24.39,67.75
10,2022-01-10T00:00:00Z,T,MCL82,1.1,0.5,1,-1,2022-01-10T15:27:00Z,0,20589718,1,23,1,1,01/10,2022-01-10T15:26:00Z,24.87,66.11
11,2022-01-10T00:00:00Z,T,BS81,1.1,0.5,1,-1,2022-01-10T15:31:00Z,0,20589718,1,23,1,1,01/10,2022-01-10T15:31:00Z,24.82,66.33
12,2022-01-10T00:00:00Z,T,CAD82,1.1,0.58,-1,-1,2022-01-10T15:33:00Z,0,20589732,2,23,1,1,01/10,2022-01-10T15:29:00Z,23.59,73.44
13,2022-01-10T00:00:00Z,T,CAD82,1.1,0.58,-1,-1,2022-01-10T15:40:00Z,0,20589732,2,23,1,1,01/10,2022-01-10T15:39:00Z,23.81,75.44
14,2022-01-10T00:00:00Z,T,RBJ82,1.58,0.5,1,0,2022-01-10T16:12:00Z,0,20589762,2,23,1,1,01/10,2022-01-10T16:08:00Z,23.45,77.64
15,2022-01-10T00:00:00Z,T,LR80,1.1,0.58,-1,-1,2022-01-10T16:23:00Z,0,20589718,1,23,1,1,01/10,2022-01-10T16:21:00Z,24.63,67.04
16,2022-01-10T00:00:00Z,T,AA80,1.1,0.58,1,0,2022-01-10T16:32:00Z,0,20589718,1,23,1,1,01/10,2022-01-10T16:31:00Z,24.6,68.33
17,2022-01-10T00:00:00Z,T,LR80,1.1,0.58,-1,-1,2022-01-10T17:07:00Z,0,20589718,1,23,1,1,01/10,2022-01-10T17:06:00Z,24.8,67.38
18,2022-01-10T00:00:00Z,T,BS81,1.1,0.5,1,-1,2022-01-10T17:08:00Z,0,20589718,1,23,1,1,01/10,2022-01-10T17:06:00Z,24.8,67.38
19,2022-01-10T00:00:00Z,T,CAD82,1.1,0.58,-1,-1,2022-01-10T17:15:00Z,0,20589732,2,23,1,1,01/10,2022-01-10T17:14:00Z,23.47,80.64
20,2022-01-10T00:00:00Z,T,MCL82,1.1,0.5,2,0,2022-01-10T17:16:00Z,0,20589718,1,23,1,1,01/10,2022-01-10T17:16:00Z,24.8,68.63
21,2022-01-10T00:00:00Z,T,GHF60,1.1,0.5,1,0,2022-01-10T17:20:00Z,0,20589718,1,23,1,1,01/10,2022-01-10T17:16:00Z,24.8,68.63
22,2022-01-10T00:00:00Z,T,PMC78,1.1,0.58,1,-1,2022-01-10T17:25:00Z,0,20589728,1,23,1,1,01/10,2022-01-10T17:24:00Z,25.67,65.58
23,2022-01-10T00:00:00Z,T,RBJ82,1.1,0.5,1,0,2022-01-10T17:27:00Z,0,20589762,2,23,1,1,01/10,2022-01-10T17:23:00Z,23.54,76.54
24,2022-01-11T00:00:00Z,M,ELG65,1.1,0.5,2,0,2022-01-11T07:09:00Z,0,20589707,1,23,1,1,01/11,2022-01-11T07:06:00Z,25.14,69.19
25,2022-01-11T00:00:00Z,M,BS81,1.1,0.5,1,-1,2022-01-11T08:46:00Z,0,20589718,1,23,1,1,01/11,2022-01-11T08:46:00Z,24.68,72.12
26,2022-01-11T00:00:00Z,M,LR80,1.1,0.5,1,-1,2022-01-11T08:47:00Z,0,20589718,1,23,1,1,01/11,2022-01-11T08:46:00Z,24.68,72.12
27,2022-01-11T00:00:00Z,M,SBP62,1.1,0.5,2,0,2022-01-11T08:40:00Z,0,20589744,2,23,1,1,01/11,2022-01-11T08:40:00Z,23.35,78.44
28,2022-01-11T00:00:00Z,M,AA80,1.1,0.34,1,0,2022-01-11T08:40:00Z,0,20589718,1,23,1,1,01/11,2022-01-11T08:36:00Z,24.51,73.95
29,2022-01-11T00:00:00Z,M,MCL82,1.58,0.5,1,-1,2022-01-11T08:50:00Z,0,20589718,1,23,1,1,01/11,2022-01-11T08:46:00Z,24.68,72.12
